chinese,english,math,society,science,PR,H_GPA,M,M_10,M_5,M_3,M_2
61.62,41.72,85.12,78.79,82.8,96,3.042,85,B,B,A,A
77.65,29.35,89.52,52.26,82.8,80,2.059,66.33,D,D,B,A
61.62,41.72,85.12,52.26,82.8,80,3.013,65,D,D,B,A
30.45,48.84,89.52,52.26,75.28,80,2.014,69.33,D,D,B,A
77.65,48.84,85.12,64.4,82.8,75,2.402,45.67,F,F,F,F
77.65,65.01,85.12,64.4,66.62,89,2.116,55,E,F,F,F
77.65,56.09,85.12,52.26,66.62,89,1.466,53.67,E,F,F,F
45.06,41.72,89.52,88.53,75.28,80,3.6,80.67,B,B,A,A
19.15,56.09,85.12,27.58,56.84,83,3.444,83,B,B,A,A
30.45,29.35,89.52,64.4,75.28,83,1.914,67,D,D,B,A
61.62,65.01,89.52,52.26,56.84,80,1.487,52.67,E,F,F,F
61.62,48.84,85.12,27.58,66.62,85,1.584,54.67,E,F,F,F
61.62,48.84,85.12,37.76,75.28,85,2.697,57.33,E,F,F,F
19.15,29.35,93.81,27.58,45.98,69,1.551,53,E,F,F,F
45.06,35.1,85.12,64.4,75.28,91,1.469,36.67,G,F,F,F
11.45,16.34,93.81,27.58,89.35,79,1.969,70.33,C,C,B,A
61.62,65.01,85.12,64.4,82.8,81,0.887,47.67,F,F,F,F
45.06,41.72,85.12,27.58,75.28,73,3.051,74.33,C,C,B,A
45.06,74.96,85.12,52.26,75.28,72,3.855,89.33,B,B,A,A
90.05,74.96,79.25,78.79,66.62,91,2.533,56,E,F,F,F
77.65,41.72,89.52,64.4,66.62,90,1.4,47.67,F,F,F,F
45.06,23.15,85.12,64.4,89.35,90,2.301,72.33,C,C,B,A
77.65,74.96,79.25,64.4,75.28,87,2.647,72,C,C,B,A
30.45,29.35,85.12,18.88,75.28,71,2.513,74.67,C,C,B,A
45.06,35.1,85.12,37.76,75.28,81,1.723,66.33,D,D,B,A
30.45,65.01,89.52,37.76,45.98,65,3.064,57,E,F,F,F
61.62,35.1,89.52,78.79,82.8,78,2.28,54.67,E,F,F,F
30.45,35.1,93.81,27.58,56.84,65,2.959,76,C,C,B,A
45.06,56.09,89.52,64.4,56.84,92,2.896,65,D,D,B,A
30.45,56.09,85.12,52.26,75.28,84,1.75,39.33,G,F,F,F
30.45,48.84,89.52,52.26,75.28,54,3.567,86.67,B,B,A,A
30.45,41.72,85.12,27.58,45.98,84,1.666,64.33,D,D,B,A
30.45,56.09,85.12,10.35,45.98,62,3.289,71,C,C,B,A
61.62,74.96,79.25,78.79,75.28,81,2.583,64.67,D,D,B,A
45.06,35.1,89.52,27.58,75.28,71,1.18,45,F,F,F,F
19.15,35.1,85.12,27.58,66.62,68,1.45,52.33,E,F,F,F
45.06,23.15,89.52,52.26,97.83,65,1.772,60.67,D,D,B,A
30.45,23.15,89.52,78.79,75.28,71,2.514,64.33,D,D,B,A
77.65,41.72,93.81,37.76,82.8,85,1.684,57.67,E,F,F,F
61.62,56.09,85.12,37.76,56.84,50,2.882,65,D,D,B,A
61.62,35.1,85.12,52.26,75.28,71,2,58.33,E,F,F,F
77.65,56.09,85.12,52.26,75.28,95,2.257,54.33,E,F,F,F
61.62,65.01,85.12,37.76,75.28,84,1.625,57.5,E,F,F,F
45.06,48.84,85.12,37.76,66.62,57,1.277,46.67,F,F,F,F
61.62,48.84,85.12,37.76,75.28,72,1.791,73.67,C,C,B,A
77.65,35.1,85.12,64.4,82.8,67,2.43,57.67,E,F,F,F
30.45,48.84,85.12,37.76,66.62,80,1.782,56.67,E,F,F,F
45.06,48.84,85.12,64.4,75.28,82,2.166,69.67,D,D,B,A
30.45,65.01,85.12,64.4,75.28,75,3.684,75.33,C,C,B,A
45.06,48.84,85.12,37.76,56.84,73,3.712,84,B,B,A,A
61.62,56.09,85.12,37.76,82.8,49,3.916,93.33,A,A,A,A
61.62,48.84,93.81,37.76,66.62,75,1.305,29.33,H,F,F,F
45.06,41.72,85.12,78.79,66.62,75,0.125,32,G,F,F,F
45.06,23.15,65.77,52.26,45.98,36,2.647,54,E,F,F,F
57.9,74.55,94.18,0.01,71.01,75,3.925,88,B,B,A,A
74.37,57.13,87.56,80.31,71.01,96,2.657,72.33,C,C,B,A
88.28,65.06,87.56,80.31,78.15,97,4,96.33,A,A,A,A
57.9,43.55,94.18,0.01,78.15,86,2.781,62.33,D,D,B,A
88.28,84.49,94.18,66.22,84.9,93,2.166,60.33,D,D,B,A
74.37,65.06,87.56,80.31,78.15,89,3.527,88,B,B,A,A
57.9,57.13,87.56,0.01,78.15,84,3.351,85,B,B,A,A
