chinese,english,math,society,science,PR,H_GPA,avg,grade_10,grade_5,grade_3,grade_2
45.06,23.15,89.52,52.26,97.83,65,1.772,62.7,D,D,B,A
30.45,23.15,89.52,78.79,75.28,71,2.514,70.6,C,C,B,A
77.65,41.72,93.81,37.76,82.8,85,1.684,48.88,F,F,F,F
61.62,56.09,85.12,37.76,56.84,50,2.882,72.5,C,C,B,A
61.62,35.1,85.12,52.26,75.28,71,2,64,D,D,B,A
77.65,56.09,85.12,52.26,75.28,95,2.257,57.56,E,F,F,F
61.62,65.01,85.12,37.76,75.28,84,1.625,53.38,E,F,F,F
45.06,48.84,85.12,37.76,66.62,57,1.277,53.6,E,F,F,F
61.62,48.84,85.12,37.76,75.28,72,1.791,61.8,D,D,B,A
77.65,35.1,85.12,64.4,82.8,67,2.43,65.5,D,D,B,A
30.45,48.84,85.12,37.76,66.62,80,1.782,59.4,E,F,F,F
45.06,48.84,85.12,64.4,75.28,82,2.166,56.1,E,F,F,F
30.45,65.01,85.12,64.4,75.28,75,3.684,78.5,C,C,B,A
45.06,48.84,85.12,37.76,56.84,73,3.712,84.4,B,B,A,A
61.62,56.09,85.12,37.76,82.8,49,3.916,89.8,B,B,A,A
61.62,48.84,93.81,37.76,66.62,75,1.305,37.3,G,F,F,F
45.06,41.72,85.12,78.79,66.62,75,0.125,29,H,F,F,F
45.06,23.15,65.77,52.26,45.98,36,2.647,71.33,C,C,B,A
57.9,74.55,94.18,0.01,71.01,75,3.925,87.9,B,B,A,A
74.37,57.13,87.56,80.31,71.01,96,2.657,71.1,C,C,B,A
88.28,65.06,87.56,80.31,78.15,97,4,93.6,A,A,A,A
57.9,43.55,94.18,0.01,78.15,86,2.781,70.3,C,C,B,A
88.28,84.49,94.18,66.22,84.9,93,2.166,61.3,D,D,B,A
74.37,65.06,87.56,80.31,78.15,89,3.527,78.7,C,C,B,A
57.9,57.13,87.56,0.01,78.15,84,3.351,78.6,C,C,B,A
74.37,43.55,94.18,0.01,84.9,89,0.941,40.6,F,F,F,F
74.37,74.55,87.56,66.22,91.01,84,4,89.3,B,B,A,A
74.37,84.49,87.56,80.31,71.01,96,2.703,67.89,D,D,B,A
18.37,57.13,94.18,0.01,71.01,86,1.054,54.7,E,F,F,F
28.23,37.48,94.18,36.04,71.01,83,2.21,68.7,D,D,B,A
57.9,37.48,94.18,66.22,91.01,80,3.228,74.56,C,C,B,A
28.23,37.48,94.18,50.7,63.74,85,2.055,64.8,D,D,B,A
74.37,49.91,87.56,50.7,78.15,87,2.4,65.1,D,D,B,A
41.87,74.55,87.56,66.22,84.9,87,3.157,73,C,C,B,A
28.23,49.91,100,36.04,71.01,81,0.894,33.9,G,F,F,F
57.9,49.91,94.18,36.04,84.9,81,1.187,52.56,E,F,F,F
18.37,43.55,87.56,23.94,78.15,7,3.555,82,B,B,A,A
28.23,65.06,87.56,23.94,78.15,85,1.815,60,E,D,B,A
41.87,25.18,94.18,23.94,78.15,85,3.305,84,B,B,A,A
41.87,65.06,87.56,36.04,71.01,85,2.972,74.8,C,C,B,A
57.9,57.13,87.56,36.04,84.9,77,2.342,67.5,D,D,B,A
74.37,65.06,94.18,0.01,71.01,90,1.75,55,E,F,F,F
