chinese,english,math,society,science,PR,H_GPA,B,B_10,B_5,B_3,B_2
61.47,61.76,74.39,90.68,74.44,85,2.234,83.5,B,B,A,A
45.71,76.53,74.39,93.96,66.67,91,2.637,81,B,B,A,A
45.71,68.97,85.62,90.68,66.67,60,2.991,61,D,D,B,A
61.47,61.76,80.36,93.96,74.44,91,1.612,77.5,C,C,B,A
77.31,68.97,67.25,90.68,74.44,56,2.709,80.5,B,B,A,A
32.76,45.91,67.25,90.68,95.5,73,1.241,66.5,D,D,B,A
61.47,76.53,80.36,93.96,58.63,84,1.634,77.5,C,C,B,A
45.71,61.76,80.36,74.39,74.44,77,1.068,95,A,A,A,A
90.21,61.76,74.39,93.96,89.48,90,3.406,62.5,D,D,B,A
77.31,76.53,80.36,85.62,58.63,81,2.605,49,F,F,F,F
90.21,68.97,80.36,85.62,66.67,54,1.245,51.5,E,F,F,F
32.76,76.53,67.25,90.68,74.44,84,0.642,77,C,C,B,A
45.71,53.96,90.68,90.68,74.44,50,3.463,89,B,B,A,A
61.47,90.7,57.8,80.36,66.67,77,2.258,98.5,A,A,A,A
77.31,53.96,74.39,93.96,82.02,79,3.664,69.5,D,D,B,A
45.71,90.7,67.25,93.96,58.63,79,1.352,29.5,H,F,F,F
22.7,61.76,85.62,80.36,82.02,49,2.933,64,D,D,B,A
61.47,61.76,85.62,80.36,58.63,60,1.727,49,F,F,F,F
61.47,28.5,96.59,98.59,82.02,92,0.625,92,A,A,A,A
32.76,45.91,93.96,96.59,74.44,71,3.272,59,E,F,F,F
77.31,76.53,80.36,96.59,58.63,71,2.346,77.5,C,C,B,A
45.71,68.97,67.25,80.36,89.48,75,3.142,57,E,F,F,F
77.31,53.96,74.39,80.36,82.02,62,1.521,78,C,C,B,A
61.47,68.97,74.39,93.96,74.44,67,2.56,85.5,B,B,A,A
45.71,90.7,80.36,85.62,66.67,84,2.824,92,A,A,A,A
45.71,61.76,80.36,80.36,74.44,22,2.455,66,D,D,B,A
45.06,48.84,89.52,27.58,75.28,80,1.308,59.33,E,F,F,F
77.65,56.09,93.81,78.79,82.8,86,3.67,74,C,C,B,A
45.06,56.09,93.81,52.26,89.35,84,1.859,80,C,B,B,A
61.62,74.96,93.81,78.79,89.35,89,2.948,70,D,C,B,A
45.06,84.64,89.52,52.26,75.28,91,2.8,74,C,C,B,A
30.45,65.01,93.81,64.4,75.28,94,3.392,63,D,D,B,A
30.45,65.01,89.52,52.26,89.35,85,2.014,67.33,D,D,B,A
45.06,48.84,93.81,52.26,75.28,85,3.963,80.33,B,B,A,A
11.45,48.84,100,37.76,97.83,83,3.289,86.67,B,B,A,A
19.15,65.01,85.12,78.79,97.83,80,3.986,59,E,F,F,F
61.62,74.96,89.52,27.58,82.8,82,2.757,70.67,C,C,B,A
77.65,56.09,85.12,52.26,82.8,91,3,68.67,D,D,B,A
45.06,84.64,89.52,78.79,75.28,82,2.196,47.67,F,F,F,F
45.06,41.72,93.81,52.26,75.28,60,3.402,85.33,B,B,A,A
30.45,48.84,100,52.26,66.62,81,3.794,61,D,D,B,A
61.62,56.09,93.81,52.26,82.8,84,2,73,C,C,B,A
30.45,56.09,93.81,37.76,82.8,74,3.774,67,D,D,B,A
